file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,dataset,-45.764560080007904,-45.8658626570168,3.6849020032423345,8.149450630965882
F2BJRLP2,0.0,28.6474375,dataset,-45.63370691535776,-45.67438675227918,3.338607691656309,7.817271964290111
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,dataset,-44.248585994249396,-53.13909325232873,2.742665995135744,11.85118774544399
